"CD_PRODUIT";"NOM_PRODUIT";"PRIX_ACHAT_PRODUIT";"PRIX_VENTE_PRODUIT";"CD_SOUS_CATEGORIE"
"TEC-PH-5816";"Samsung Convoy 3";"53.2752";"66.594";"SC001"
"FUR-CH-5379";"Novimex Executive Leather Armchair. Black";"219.816";"274.77";"SC002"
"TEC-PH-5356";"Nokia Smart Phone. with Caller ID";"204.4512";"255.564";"SC001"
"TEC-PH-5267";"Motorola Smart Phone. Cordless";"437.0904";"546.363";"SC001"
"TEC-CO-6011";"Sharp Wireless Fax. High-Speed";"184.1424";"230.178";"SC003"
"TEC-PH-5842";"Samsung Smart Phone. with Caller ID";"203.568";"254.46";"SC001"
"FUR-CH-5378";"Novimex Executive Leather Armchair. Adjustable";"110.5056";"138.132";"SC002"
"FUR-TA-3764";"Chromcraft Conference Table. Fully Assembled";"372.9664";"466.208";"SC004"
"FUR-BO-5957";"Sauder Facets Collection Library. Sky Alder Finish";"95.7488";"119.686";"SC005"
"FUR-CH-4421";"Global Push Button Manager's Chair. Indigo";"43.8408";"54.801";"SC002"
"OFF-AR-5309";"Newell 330";"3.8272";"4.784";"SC006"
"FUR-TA-3420";"Bevis Conference Table. Fully Assembled";"111.0276";"138.7845";"SC004"
"TEC-PH-3807";"Cisco Smart Phone. with Caller ID";"157.0176";"196.272";"SC001"
"FUR-CH-4530";"Harbour Creations Executive Leather Armchair. Adjustable";"113.0832";"141.354";"SC002"
"OFF-AP-4959";"KitchenAid Microwave. White";"148.0608";"185.076";"SC007"
"OFF-AP-3575";"Breville Refrigerator. Red";"166.1856";"207.732";"SC007"
"OFF-ST-3078";"Akro Stacking Bins";"6.312";"7.89";"SC008"
"OFF-AP-4743";"Hoover Stove. Red";"181.9104";"227.388";"SC007"
"TEC-CO-3597";"Brother Fax Machine. High-Speed";"235.65456";"294.5682";"SC003"
"OFF-AP-4967";"KitchenAid Stove. White";"136.3896";"170.487";"SC007"
"FUR-TA-4644";"Hon Computer Table. with Bottom Storage";"276.8808";"346.101";"SC004"
"OFF-ST-3744";"Carina 42\"Hx23 3/4\"W Media Storage Unit";"51.8272";"64.784";"SC008"
"FUR-CH-5774";"SAFCO Executive Leather Armchair. Black";"275.4";"344.25";"SC002"
"OFF-AP-4960";"KitchenAid Refrigerator. Black";"210.948";"263.685";"SC007"
"TEC-PH-5268";"Motorola Smart Phone. Full Size";"154.2456";"192.807";"SC001"
"FUR-TA-4643";"Hon Computer Table. Fully Assembled";"276.4776";"345.597";"SC004"
"FUR-TA-5060";"Lesro Conference Table. with Bottom Storage";"445.9416";"557.427";"SC004"
"OFF-FA-6129";"Staples";"16.8832";"21.104";"SC009"
"FUR-CH-5443";"Office Star Executive Leather Armchair. Red";"150.2976";"187.872";"SC002"
"TEC-PH-5841";"Samsung Smart Phone. VoIP";"203.5968";"254.496";"SC001"
"TEC-MA-5503";"Okidata Inkjet. Wireless";"75.4128";"94.266";"SC010"
"TEC-PH-4389";"Geemarc AmpliPOWER60";"44.544";"55.68";"SC001"
"OFF-AP-3579";"Breville Stove. Red";"299.488";"374.36";"SC007"
"OFF-ST-4291";"Fellowes Super Stor/Drawer Files";"103.392";"129.24";"SC008"
"TEC-PH-3148";"Apple Smart Phone. Full Size";"152.6904";"190.863";"SC001"
"FUR-CH-4840";"Iceberg Nesting Folding Chair. 19w x 6d x 43h";"46.576";"58.22";"SC002"
"TEC-AC-6340";"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc. 10/Pack";"7.4176";"9.272";"SC011"
"TEC-CO-3598";"Brother Fax Machine. Laser";"101.593024";"126.99128";"SC003"
"TEC-PH-5269";"Motorola Smart Phone. with Caller ID";"180.7512";"225.939";"SC001"
"FUR-BO-5951";"Sauder Classic Bookcase. Traditional";"226.7148";"283.3935";"SC005"
"OFF-AP-3874";"Cuisinart Stove. Silver";"287.488";"359.36";"SC007"
"FUR-FU-4072";"Eldon Image Series Desk Accessories. Ebony";"7.904";"9.88";"SC012"
"FUR-CH-5441";"Office Star Executive Leather Armchair. Adjustable";"112.7808";"140.976";"SC002"
"FUR-CH-5380";"Novimex Executive Leather Armchair. Red";"196.352";"245.44";"SC002"
"TEC-MA-5007";"Konica Inkjet. White";"206.23176";"257.7897";"SC010"
"FUR-CH-4531";"Harbour Creations Executive Leather Armchair. Black";"113.6664";"142.083";"SC002"
"OFF-BI-4372";"GBC VeloBind Cover Sets";"3.7056";"4.632";"SC013"
"TEC-CO-3678";"Canon Copy Machine. Color";"84.064448";"105.08056";"SC003"
"OFF-LA-3231";"Avery 51";"4.032";"5.04";"SC014"
